Fakultas,Jurusan,Kelas,Asal kampus,Apa minat kamu?
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,"Minat saya dalam bidang IT yaitu data sains, entah kenapa saya suka dalam bidang pengolahan data"
Fakultas Teknologi Industri,Teknik Elektro,3IB##,Universitas Gunadarma,Network Architect
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Backend programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,"Minat saya adalah dibidang data analytics, saya ingin sekali membangun career saya pada bidang data. Mohon bantuannya"
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"Sistem analisis, web developer"
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,Frontend programming
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Frontend programming.
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,"Front-end Web Development dalam membuat tampilan web supaya menjadi menarik dan responsif, dan Mobile Development membuat sebuah aplikasi mobile."
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,backend developmen
Fakultas Ekonomi,other,343##,Universitas Gunadarma,fsadfs
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Komputer,1KB##,Universitas Gunadarma,Embedded sytem dan backend programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,"Desain,"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,":UI/UX, backend programming"
Fakultas Ilmu Komputer dan Teknologi Informasi,Psikologi,-,Universitas Bina Sarana Informatika,Saya berminat untuk menjadi Backend Programming karena saya suka membantu mengatasi suatu masalah dan membuat program agar menjadi lebih baik.
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Ui/UX
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,UI/UX dan biar bisa ngoding kak:(
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,"UI/UX, Cyber security, database"
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"Jaringan / Networking : dari sekedar menyambungkan kabel antar komputer, antar gadget sampai jaringan antar benua, satelit dan sebagainya"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,website developer and progammer
